what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521007500274
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521007513522
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1521007515020
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521007554690
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1521007582317
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521007620011
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1521007651625
error,log,,,"Core exception while retrieving the content description",1521007652204
error,log,,,"Core exception while retrieving the content description",1521007652205
error,log,,,"Core exception while retrieving the content description",1521007652207
error,log,,,"Core exception while retrieving the content description",1521007652208
error,log,,,"Core exception while retrieving the content description",1521007652209
error,log,,,"Core exception while retrieving the content description",1521007653523
error,log,,,"Core exception while retrieving the content description",1521007653525
error,log,,,"Core exception while retrieving the content description",1521007653526
error,log,,,"Core exception while retrieving the content description",1521007653528
error,log,,,"Core exception while retrieving the content description",1521007653529
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1521007653804
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521007654744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521007660537
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521007666549
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1521007668852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521007678201
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521007679625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521007680609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521007683977
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.eof",1521007688331
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521007689050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1521007689495
