what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1522230046353
error,log,,,"Core exception while retrieving the content description",1522230046765
error,log,,,"Core exception while retrieving the content description",1522230046890
error,log,,,"Core exception while retrieving the content description",1522230046986
error,log,,,"Core exception while retrieving the content description",1522230047080
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1522230053711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522230121895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522230131645
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522230133139
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522230136211
error,log,,,"Core exception while retrieving the content description",1522230137339
error,log,,,"Core exception while retrieving the content description",1522230137479
error,log,,,"Core exception while retrieving the content description",1522230137589
error,log,,,"Core exception while retrieving the content description",1522230137678
error,log,,,"Core exception while retrieving the content description",1522230137777
error,log,,,"Core exception while retrieving the content description",1522230138628
error,log,,,"Core exception while retrieving the content description",1522230138749
error,log,,,"Core exception while retrieving the content description",1522230139049
error,log,,,"Core exception while retrieving the content description",1522230139180
error,log,,,"Core exception while retrieving the content description",1522230139300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522230165708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522230201647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522230206076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522230209517
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522230216018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522230218582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522230223622
error,log,,,"Core exception while retrieving the content description",1522230224952
error,log,,,"Core exception while retrieving the content description",1522230225069
error,log,,,"Core exception while retrieving the content description",1522230225176
error,log,,,"Core exception while retrieving the content description",1522230225278
error,log,,,"Core exception while retrieving the content description",1522230225316
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522230225362
error,log,,,"Core exception while retrieving the content description",1522230226549
error,log,,,"Core exception while retrieving the content description",1522230226641
error,log,,,"Core exception while retrieving the content description",1522230226705
error,log,,,"Core exception while retrieving the content description",1522230226730
error,log,,,"Core exception while retrieving the content description",1522230226751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522230231259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522230237293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522230239127
error,log,,,"Core exception while retrieving the content description",1522230240438
error,log,,,"Core exception while retrieving the content description",1522230240482
error,log,,,"Core exception while retrieving the content description",1522230240529
error,log,,,"Core exception while retrieving the content description",1522230240550
error,log,,,"Core exception while retrieving the content description",1522230240619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522230240756
error,log,,,"Core exception while retrieving the content description",1522230241360
error,log,,,"Core exception while retrieving the content description",1522230241446
error,log,,,"Core exception while retrieving the content description",1522230241512
error,log,,,"Core exception while retrieving the content description",1522230241541
error,log,,,"Core exception while retrieving the content description",1522230241590
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522230248811
