what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1521031956309
error,log,,,"Core exception while retrieving the content description",1521031956310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521031956629
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1521031956639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521031969103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521032027031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521032035399
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521032054503
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1521032057512
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1521032060945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521032064262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521032212972
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1521032215452
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1521032223136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1521032225968
error,log,,,"Core exception while retrieving the content description",1521032226954
error,log,,,"Core exception while retrieving the content description",1521032226955
error,log,,,"Core exception while retrieving the content description",1521032226957
error,log,,,"Core exception while retrieving the content description",1521032226958
error,log,,,"Core exception while retrieving the content description",1521032226959
error,log,,,"Core exception while retrieving the content description",1521032226968
error,log,,,"Core exception while retrieving the content description",1521032226969
error,log,,,"Core exception while retrieving the content description",1521032226970
error,log,,,"Core exception while retrieving the content description",1521032226970
error,log,,,"Core exception while retrieving the content description",1521032226971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521032227036
error,log,,,"Core exception while retrieving the content description",1521032227893
error,log,,,"Core exception while retrieving the content description",1521032227894
error,log,,,"Core exception while retrieving the content description",1521032227896
error,log,,,"Core exception while retrieving the content description",1521032227897
error,log,,,"Core exception while retrieving the content description",1521032227898
error,log,,,"Core exception while retrieving the content description",1521032227914
error,log,,,"Core exception while retrieving the content description",1521032227915
error,log,,,"Core exception while retrieving the content description",1521032227917
error,log,,,"Core exception while retrieving the content description",1521032227918
error,log,,,"Core exception while retrieving the content description",1521032227919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521032238542
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1521032239804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1521032241574
error,log,,,"Core exception while retrieving the content description",1521032242191
error,log,,,"Core exception while retrieving the content description",1521032242192
error,log,,,"Core exception while retrieving the content description",1521032242194
error,log,,,"Core exception while retrieving the content description",1521032242195
error,log,,,"Core exception while retrieving the content description",1521032242196
error,log,,,"Core exception while retrieving the content description",1521032242206
error,log,,,"Core exception while retrieving the content description",1521032242207
error,log,,,"Core exception while retrieving the content description",1521032242208
error,log,,,"Core exception while retrieving the content description",1521032242209
error,log,,,"Core exception while retrieving the content description",1521032242209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521032242867
error,log,,,"Core exception while retrieving the content description",1521032243574
error,log,,,"Core exception while retrieving the content description",1521032243575
error,log,,,"Core exception while retrieving the content description",1521032243576
error,log,,,"Core exception while retrieving the content description",1521032243577
error,log,,,"Core exception while retrieving the content description",1521032243577
error,log,,,"Core exception while retrieving the content description",1521032243586
error,log,,,"Core exception while retrieving the content description",1521032243586
error,log,,,"Core exception while retrieving the content description",1521032243587
error,log,,,"Core exception while retrieving the content description",1521032243588
error,log,,,"Core exception while retrieving the content description",1521032243588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521032244595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521032244941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521032252774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1521032254388
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1521032290648
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1521032295643
