what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1518077975932
error,log,,,"Core exception while retrieving the content description",1518077975932
error,log,,,"Core exception while retrieving the content description",1518077975948
error,log,,,"Core exception while retrieving the content description",1518077975948
error,log,,,"Core exception while retrieving the content description",1518077975948
error,log,,,"Core exception while retrieving the content description",1518077977165
error,log,,,"Core exception while retrieving the content description",1518077977165
error,log,,,"Core exception while retrieving the content description",1518077977165
error,log,,,"Core exception while retrieving the content description",1518077977165
error,log,,,"Core exception while retrieving the content description",1518077977165
error,log,,,"Core exception while retrieving the content description",1518077977165
error,log,,,"Core exception while retrieving the content description",1518077977165
error,log,,,"Core exception while retrieving the content description",1518077977180
error,log,,,"Core exception while retrieving the content description",1518077977180
error,log,,,"Core exception while retrieving the content description",1518077977180
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1518077978538
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1518077999270
error,log,,,"Core exception while retrieving the content description",1518077999972
error,log,,,"Core exception while retrieving the content description",1518077999972
error,log,,,"Core exception while retrieving the content description",1518077999972
error,log,,,"Core exception while retrieving the content description",1518077999972
error,log,,,"Core exception while retrieving the content description",1518077999972
error,log,,,"Core exception while retrieving the content description",1518077999988
error,log,,,"Core exception while retrieving the content description",1518077999988
error,log,,,"Core exception while retrieving the content description",1518077999988
error,log,,,"Core exception while retrieving the content description",1518077999988
error,log,,,"Core exception while retrieving the content description",1518077999988
error,log,,,"Core exception while retrieving the content description",1518078000986
error,log,,,"Core exception while retrieving the content description",1518078000986
error,log,,,"Core exception while retrieving the content description",1518078000986
error,log,,,"Core exception while retrieving the content description",1518078000986
error,log,,,"Core exception while retrieving the content description",1518078000986
error,log,,,"Core exception while retrieving the content description",1518078000986
error,log,,,"Core exception while retrieving the content description",1518078001002
error,log,,,"Core exception while retrieving the content description",1518078001002
error,log,,,"Core exception while retrieving the content description",1518078001002
error,log,,,"Core exception while retrieving the content description",1518078001002
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1518078001797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1518078006820
error,log,,,"Core exception while retrieving the content description",1518078007398
error,log,,,"Core exception while retrieving the content description",1518078007398
error,log,,,"Core exception while retrieving the content description",1518078007398
