what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1521029226762
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1521029228189
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1521029308707
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521029320553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521029321859
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1521029324695
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521029324938
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521029324975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1521029354109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521029354761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521029702312
error,log,,,"Internal Error",1521029740669
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1521029769623
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1521029786225
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521029786425
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521029786459
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1521029789700
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1521029795879
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521029805774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1521029813243
error,log,,,"Core exception while retrieving the content description",1521029814155
error,log,,,"Core exception while retrieving the content description",1521029814156
error,log,,,"Core exception while retrieving the content description",1521029814157
error,log,,,"Core exception while retrieving the content description",1521029814158
error,log,,,"Core exception while retrieving the content description",1521029814159
error,log,,,"Core exception while retrieving the content description",1521029814175
error,log,,,"Core exception while retrieving the content description",1521029814176
error,log,,,"Core exception while retrieving the content description",1521029814178
error,log,,,"Core exception while retrieving the content description",1521029814180
error,log,,,"Core exception while retrieving the content description",1521029814205
error,log,,,"Core exception while retrieving the content description",1521029815159
error,log,,,"Core exception while retrieving the content description",1521029815160
error,log,,,"Core exception while retrieving the content description",1521029815162
error,log,,,"Core exception while retrieving the content description",1521029815163
error,log,,,"Core exception while retrieving the content description",1521029815164
error,log,,,"Core exception while retrieving the content description",1521029815175
error,log,,,"Core exception while retrieving the content description",1521029815176
error,log,,,"Core exception while retrieving the content description",1521029815177
error,log,,,"Core exception while retrieving the content description",1521029815177
error,log,,,"Core exception while retrieving the content description",1521029815178
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1521029817354
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1521029820151
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521029828167
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1521029840439
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1521029840583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521029847198
