what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1522238465891
error,log,,,"Core exception while retrieving the content description",1522238465965
error,log,,,"Core exception while retrieving the content description",1522238466066
error,log,,,"Core exception while retrieving the content description",1522238466143
error,log,,,"Core exception while retrieving the content description",1522238466228
error,log,,,"Core exception while retrieving the content description",1522238466321
error,log,,,"Core exception while retrieving the content description",1522238466400
error,log,,,"Core exception while retrieving the content description",1522238466508
error,log,,,"Core exception while retrieving the content description",1522238466624
error,log,,,"Core exception while retrieving the content description",1522238466703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522238471599
error,log,,,"Core exception while retrieving the content description",1522238472179
error,log,,,"Core exception while retrieving the content description",1522238472261
error,log,,,"Core exception while retrieving the content description",1522238472343
error,log,,,"Core exception while retrieving the content description",1522238472422
error,log,,,"Core exception while retrieving the content description",1522238472505
error,log,,,"Core exception while retrieving the content description",1522238472613
error,log,,,"Core exception while retrieving the content description",1522238472696
error,log,,,"Core exception while retrieving the content description",1522238472780
error,log,,,"Core exception while retrieving the content description",1522238472873
error,log,,,"Core exception while retrieving the content description",1522238472958
error,log,,,"Internal Error",1522238473500
error,log,,,"Core exception while retrieving the content description",1522238473730
error,log,,,"Core exception while retrieving the content description",1522238473819
error,log,,,"Core exception while retrieving the content description",1522238473907
error,log,,,"Core exception while retrieving the content description",1522238473993
error,log,,,"Core exception while retrieving the content description",1522238474088
error,log,,,"Core exception while retrieving the content description",1522238474191
error,log,,,"Core exception while retrieving the content description",1522238474280
error,log,,,"Core exception while retrieving the content description",1522238474371
error,log,,,"Core exception while retrieving the content description",1522238474461
error,log,,,"Core exception while retrieving the content description",1522238474554
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522238479011
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1522238482298
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1522238483467
error,log,,,"Core exception while retrieving the content description",1522238484106
error,log,,,"Core exception while retrieving the content description",1522238484223
error,log,,,"Core exception while retrieving the content description",1522238484345
error,log,,,"Core exception while retrieving the content description",1522238484463
error,log,,,"Core exception while retrieving the content description",1522238484568
error,log,,,"Core exception while retrieving the content description",1522238484694
error,log,,,"Core exception while retrieving the content description",1522238484800
error,log,,,"Core exception while retrieving the content description",1522238484919
error,log,,,"Core exception while retrieving the content description",1522238485020
error,log,,,"Core exception while retrieving the content description",1522238485125
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522238485177
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1522238485266
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522238486068
error,log,,,"Core exception while retrieving the content description",1522238486923
error,log,,,"Core exception while retrieving the content description",1522238487034
error,log,,,"Core exception while retrieving the content description",1522238487076
error,log,,,"Core exception while retrieving the content description",1522238487146
error,log,,,"Core exception while retrieving the content description",1522238487167
error,log,,,"Core exception while retrieving the content description",1522238487204
error,log,,,"Core exception while retrieving the content description",1522238487246
error,log,,,"Core exception while retrieving the content description",1522238487282
error,log,,,"Core exception while retrieving the content description",1522238487308
error,log,,,"Core exception while retrieving the content description",1522238487331
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1522238490330
error,log,,,"Core exception while retrieving the content description",1522238490921
error,log,,,"Core exception while retrieving the content description",1522238491013
error,log,,,"Core exception while retrieving the content description",1522238491056
error,log,,,"Core exception while retrieving the content description",1522238491081
error,log,,,"Core exception while retrieving the content description",1522238491115
error,log,,,"Core exception while retrieving the content description",1522238491155
error,log,,,"Core exception while retrieving the content description",1522238491181
error,log,,,"Core exception while retrieving the content description",1522238491212
error,log,,,"Core exception while retrieving the content description",1522238491248
error,log,,,"Core exception while retrieving the content description",1522238491279
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522238491330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238499279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238510421
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522238560156
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522238567275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522238602092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238602597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238606197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238608063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238612870
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522238617772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238618283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238632524
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522238640793
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522238640885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238673245
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238698607
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522238700075
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522238710236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238728173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238878224
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522238884089
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522238889456
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522238907212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238950426
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238951408
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238954377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238958895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522238986581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522239020108
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522239022603
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522239033916
error,log,,,"Core exception while retrieving the content description",1522239034814
