what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1518078317873
error,log,,,"Core exception while retrieving the content description",1518078317873
error,log,,,"Core exception while retrieving the content description",1518078317873
error,log,,,"Core exception while retrieving the content description",1518078317873
error,log,,,"Core exception while retrieving the content description",1518078317889
error,log,,,"Core exception while retrieving the content description",1518078317889
error,log,,,"Core exception while retrieving the content description",1518078317889
error,log,,,"Core exception while retrieving the content description",1518078317889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1518078335439
error,log,,,"Core exception while retrieving the content description",1518078335907
error,log,,,"Core exception while retrieving the content description",1518078335907
error,log,,,"Core exception while retrieving the content description",1518078335907
error,log,,,"Core exception while retrieving the content description",1518078335907
error,log,,,"Core exception while retrieving the content description",1518078335907
error,log,,,"Core exception while retrieving the content description",1518078335907
error,log,,,"Core exception while retrieving the content description",1518078335907
error,log,,,"Core exception while retrieving the content description",1518078335923
error,log,,,"Core exception while retrieving the content description",1518078335923
error,log,,,"Core exception while retrieving the content description",1518078335923
error,log,,,"Core exception while retrieving the content description",1518078337093
error,log,,,"Core exception while retrieving the content description",1518078337093
error,log,,,"Core exception while retrieving the content description",1518078337093
error,log,,,"Core exception while retrieving the content description",1518078337093
error,log,,,"Core exception while retrieving the content description",1518078337093
error,log,,,"Core exception while retrieving the content description",1518078337093
error,log,,,"Core exception while retrieving the content description",1518078337093
error,log,,,"Core exception while retrieving the content description",1518078337108
error,log,,,"Core exception while retrieving the content description",1518078337108
error,log,,,"Core exception while retrieving the content description",1518078337108
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1518078341102
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1518078343130
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1518078351117
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1518078355924
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1518078359449
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1518078363615
error,log,,,"Core exception while retrieving the content description",1518078364083
error,log,,,"Core exception while retrieving the content description",1518078364083
error,log,,,"Core exception while retrieving the content description",1518078364083
error,log,,,"Core exception while retrieving the content description",1518078364083
error,log,,,"Core exception while retrieving the content description",1518078364083
error,log,,,"Core exception while retrieving the content description",1518078364083
error,log,,,"Core exception while retrieving the content description",1518078364098
error,log,,,"Core exception while retrieving the content description",1518078364098
error,log,,,"Core exception while retrieving the content description",1518078364098
error,log,,,"Core exception while retrieving the content description",1518078364098
error,log,,,"Core exception while retrieving the content description",1518078365331
error,log,,,"Core exception while retrieving the content description",1518078365331
error,log,,,"Core exception while retrieving the content description",1518078365331
error,log,,,"Core exception while retrieving the content description",1518078365331
error,log,,,"Core exception while retrieving the content description",1518078365331
error,log,,,"Core exception while retrieving the content description",1518078365331
