what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1520949329257
error,log,,,"Core exception while retrieving the content description",1520949329258
error,log,,,"Core exception while retrieving the content description",1520949329259
error,log,,,"Core exception while retrieving the content description",1520949329260
error,log,,,"Core exception while retrieving the content description",1520949330559
error,log,,,"Core exception while retrieving the content description",1520949330560
error,log,,,"Core exception while retrieving the content description",1520949330562
error,log,,,"Core exception while retrieving the content description",1520949330563
error,log,,,"Core exception while retrieving the content description",1520949330564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949341147
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1520949342529
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1520949366879
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520949369456
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1520949405631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1520949407258
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1520949408165
error,log,,,"Core exception while retrieving the content description",1520949408756
error,log,,,"Core exception while retrieving the content description",1520949408758
error,log,,,"Core exception while retrieving the content description",1520949408759
error,log,,,"Core exception while retrieving the content description",1520949408761
error,log,,,"Core exception while retrieving the content description",1520949408762
error,log,,,"Core exception while retrieving the content description",1520949410042
error,log,,,"Core exception while retrieving the content description",1520949410044
error,log,,,"Core exception while retrieving the content description",1520949410046
error,log,,,"Core exception while retrieving the content description",1520949410047
error,log,,,"Core exception while retrieving the content description",1520949410048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949418283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949424589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1520949437530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1520949443519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1520949444410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949444843
error,log,,,"Core exception while retrieving the content description",1520949445134
error,log,,,"Core exception while retrieving the content description",1520949445135
error,log,,,"Core exception while retrieving the content description",1520949445137
error,log,,,"Core exception while retrieving the content description",1520949445138
error,log,,,"Core exception while retrieving the content description",1520949445139
error,log,,,"Core exception while retrieving the content description",1520949446273
error,log,,,"Core exception while retrieving the content description",1520949446275
error,log,,,"Core exception while retrieving the content description",1520949446277
error,log,,,"Core exception while retrieving the content description",1520949446278
error,log,,,"Core exception while retrieving the content description",1520949446279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949541252
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949543098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949544488
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520949563511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1520949576422
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949577098
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949578267
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520949579718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1520949581120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520949585476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1520949588106
error,log,,,"Core exception while retrieving the content description",1520949590091
error,log,,,"Core exception while retrieving the content description",1520949590092
error,log,,,"Core exception while retrieving the content description",1520949590094
error,log,,,"Core exception while retrieving the content description",1520949590095
error,log,,,"Core exception while retrieving the content description",1520949590096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520949606537
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520949609864
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520949626951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1520949644610
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1520949646239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949647378
error,log,,,"Core exception while retrieving the content description",1520949648168
error,log,,,"Core exception while retrieving the content description",1520949648169
error,log,,,"Core exception while retrieving the content description",1520949648171
error,log,,,"Core exception while retrieving the content description",1520949648172
error,log,,,"Core exception while retrieving the content description",1520949648173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949655175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949655785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949656674
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520949661245
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1520949665101
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520949666869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1520949669045
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1520949669989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949670513
error,log,,,"Core exception while retrieving the content description",1520949671930
error,log,,,"Core exception while retrieving the content description",1520949671932
error,log,,,"Core exception while retrieving the content description",1520949671934
error,log,,,"Core exception while retrieving the content description",1520949671935
error,log,,,"Core exception while retrieving the content description",1520949671936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949674872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949675954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949686850
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520949696352
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1520949706941
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1520949721634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949722634
error,log,,,"Core exception while retrieving the content description",1520949723602
error,log,,,"Core exception while retrieving the content description",1520949723603
error,log,,,"Core exception while retrieving the content description",1520949723605
error,log,,,"Core exception while retrieving the content description",1520949723606
error,log,,,"Core exception while retrieving the content description",1520949723606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1520949725134
