what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1521550130432
processors,sysinfo,,,"2",1521550130432
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1521550130432
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1521550130432
java.specification.name,sysinfo,,,"Java Platform API Specification",1521550130432
java.specification.vendor,sysinfo,,,"Oracle Corporation",1521550130432
java.specification.version,sysinfo,,,"1.7",1521550130432
java.vendor,sysinfo,,,"Oracle Corporation",1521550130432
java.version,sysinfo,,,"1.7.0_80",1521550130432
java.vm.info,sysinfo,,,"mixed mode, sharing",1521550130432
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1521550130432
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1521550130432
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1521550130432
java.vm.specification.version,sysinfo,,,"1.7",1521550130432
java.vm.vendor,sysinfo,,,"Oracle Corporation",1521550130432
java.vm.version,sysinfo,,,"24.80-b11",1521550130432
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1521550130543
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1521550131322
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1521550131398
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1521550131399
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1521550131402
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1521550131485
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1521550132037
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1521550132126
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1521550132134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521550132221
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1521550132299
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1521550132301
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1521550132312
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1521550132338
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1521550132353
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1521550132400
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1521550132400
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1521550132426
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1521550132489
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1521550132501
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1521550132612
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1521550132925
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1521550133018
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1521550133146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521550159463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521550160830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1521550161004
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1521550163088
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1521550163092
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.503.v201108102200,"org.eclipse.jst.j2ee.ejb",1521550163135
