what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1522306340972
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522306344883
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522306346635
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522306351582
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1522306354480
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522306355596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306359825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306369144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306372372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306373319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306375457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306380636
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522306384036
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522306461044
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522306495858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306532923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306634905
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1522306638199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306668426
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306716466
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522306717678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306754104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306768371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522306797376
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522306803330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522306805577
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1522306826553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306835244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522306879140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522306880821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522306892028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522306907115
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1522306909973
