what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1522217014947
error,log,,,"Core exception while retrieving the content description",1522217015771
error,log,,,"Core exception while retrieving the content description",1522217015818
error,log,,,"Core exception while retrieving the content description",1522217015840
error,log,,,"Core exception while retrieving the content description",1522217015876
error,log,,,"Core exception while retrieving the content description",1522217015897
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217017757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217081323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1522217082731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1522217083595
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1522217084151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522217085492
error,log,,,"Core exception while retrieving the content description",1522217085993
error,log,,,"Core exception while retrieving the content description",1522217086028
error,log,,,"Core exception while retrieving the content description",1522217086114
error,log,,,"Core exception while retrieving the content description",1522217086184
error,log,,,"Core exception while retrieving the content description",1522217086245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217086281
error,log,,,"Core exception while retrieving the content description",1522217087399
error,log,,,"Core exception while retrieving the content description",1522217087423
error,log,,,"Core exception while retrieving the content description",1522217087462
error,log,,,"Core exception while retrieving the content description",1522217087548
error,log,,,"Core exception while retrieving the content description",1522217087624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217158786
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522217161057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522217170507
error,log,,,"Core exception while retrieving the content description",1522217171131
error,log,,,"Core exception while retrieving the content description",1522217171196
error,log,,,"Core exception while retrieving the content description",1522217171285
error,log,,,"Core exception while retrieving the content description",1522217171349
error,log,,,"Core exception while retrieving the content description",1522217171393
error,log,,,"Core exception while retrieving the content description",1522217172288
error,log,,,"Core exception while retrieving the content description",1522217172322
error,log,,,"Core exception while retrieving the content description",1522217172741
error,log,,,"Core exception while retrieving the content description",1522217172796
error,log,,,"Core exception while retrieving the content description",1522217172828
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1522217174654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522217175672
error,log,,,"Core exception while retrieving the content description",1522217176290
error,log,,,"Core exception while retrieving the content description",1522217176350
error,log,,,"Core exception while retrieving the content description",1522217176389
error,log,,,"Core exception while retrieving the content description",1522217176422
error,log,,,"Core exception while retrieving the content description",1522217176463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217176572
error,log,,,"Core exception while retrieving the content description",1522217177398
error,log,,,"Core exception while retrieving the content description",1522217177453
error,log,,,"Core exception while retrieving the content description",1522217177489
error,log,,,"Core exception while retrieving the content description",1522217177525
error,log,,,"Core exception while retrieving the content description",1522217177577
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217223096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1522217224284
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522217225280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217225722
error,log,,,"Core exception while retrieving the content description",1522217226033
error,log,,,"Core exception while retrieving the content description",1522217226091
error,log,,,"Core exception while retrieving the content description",1522217226143
error,log,,,"Core exception while retrieving the content description",1522217226197
error,log,,,"Core exception while retrieving the content description",1522217226253
error,log,,,"Core exception while retrieving the content description",1522217227266
error,log,,,"Core exception while retrieving the content description",1522217227361
error,log,,,"Core exception while retrieving the content description",1522217227450
error,log,,,"Core exception while retrieving the content description",1522217227561
error,log,,,"Core exception while retrieving the content description",1522217227649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217267634
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1522217271015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522217271907
error,log,,,"Core exception while retrieving the content description",1522217272512
error,log,,,"Core exception while retrieving the content description",1522217272572
error,log,,,"Core exception while retrieving the content description",1522217272628
error,log,,,"Core exception while retrieving the content description",1522217272678
error,log,,,"Core exception while retrieving the content description",1522217272722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217273445
error,log,,,"Core exception while retrieving the content description",1522217273588
error,log,,,"Core exception while retrieving the content description",1522217273674
error,log,,,"Core exception while retrieving the content description",1522217273757
error,log,,,"Core exception while retrieving the content description",1522217273844
error,log,,,"Core exception while retrieving the content description",1522217273896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217526298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522217529698
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522217531032
error,log,,,"Core exception while retrieving the content description",1522217531645
error,log,,,"Core exception while retrieving the content description",1522217531712
error,log,,,"Core exception while retrieving the content description",1522217531794
error,log,,,"Core exception while retrieving the content description",1522217531844
error,log,,,"Core exception while retrieving the content description",1522217531913
error,log,,,"Core exception while retrieving the content description",1522217533003
error,log,,,"Core exception while retrieving the content description",1522217533075
error,log,,,"Core exception while retrieving the content description",1522217533149
error,log,,,"Core exception while retrieving the content description",1522217533214
error,log,,,"Core exception while retrieving the content description",1522217533282
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1522217555991
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522217557267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522217560565
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522217561533
error,log,,,"Core exception while retrieving the content description",1522217562152
error,log,,,"Core exception while retrieving the content description",1522217562220
error,log,,,"Core exception while retrieving the content description",1522217562299
error,log,,,"Core exception while retrieving the content description",1522217562367
error,log,,,"Core exception while retrieving the content description",1522217562437
error,log,,,"Core exception while retrieving the content description",1522217563237
error,log,,,"Core exception while retrieving the content description",1522217563326
error,log,,,"Core exception while retrieving the content description",1522217563384
error,log,,,"Core exception while retrieving the content description",1522217563440
error,log,,,"Core exception while retrieving the content description",1522217563499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217564049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217591562
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1522217594189
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1522217594190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1522217594214
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1522217594429
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1522217594430
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1522217594441
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1522217594915
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1522217594916
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1522217594925
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1522217595303
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1522217595303
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1522217595319
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1522217597305
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1522217597327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217632113
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522217632213
