what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1522244540628
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522244541753
error,log,,,"Core exception while retrieving the content description",1522244542680
error,log,,,"Core exception while retrieving the content description",1522244542787
error,log,,,"Core exception while retrieving the content description",1522244543011
error,log,,,"Core exception while retrieving the content description",1522244543097
error,log,,,"Core exception while retrieving the content description",1522244543233
error,log,,,"Core exception while retrieving the content description",1522244543374
error,log,,,"Core exception while retrieving the content description",1522244543463
error,log,,,"Core exception while retrieving the content description",1522244543560
error,log,,,"Core exception while retrieving the content description",1522244543670
error,log,,,"Core exception while retrieving the content description",1522244543775
error,log,,,"Core exception while retrieving the content description",1522244544634
error,log,,,"Core exception while retrieving the content description",1522244544722
error,log,,,"Core exception while retrieving the content description",1522244544812
error,log,,,"Core exception while retrieving the content description",1522244544920
error,log,,,"Core exception while retrieving the content description",1522244545045
error,log,,,"Core exception while retrieving the content description",1522244545216
error,log,,,"Core exception while retrieving the content description",1522244545464
error,log,,,"Core exception while retrieving the content description",1522244545572
error,log,,,"Core exception while retrieving the content description",1522244545705
error,log,,,"Core exception while retrieving the content description",1522244545815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522244549356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522244599237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522244637862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522244639585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1522244645532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522244656931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522244659699
error,log,,,"Core exception while retrieving the content description",1522244660517
error,log,,,"Core exception while retrieving the content description",1522244660621
error,log,,,"Core exception while retrieving the content description",1522244660721
error,log,,,"Core exception while retrieving the content description",1522244660824
error,log,,,"Core exception while retrieving the content description",1522244660938
error,log,,,"Core exception while retrieving the content description",1522244661067
error,log,,,"Core exception while retrieving the content description",1522244661164
error,log,,,"Core exception while retrieving the content description",1522244661264
error,log,,,"Core exception while retrieving the content description",1522244661370
error,log,,,"Core exception while retrieving the content description",1522244661470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522244662200
error,log,,,"Core exception while retrieving the content description",1522244662411
error,log,,,"Core exception while retrieving the content description",1522244662523
error,log,,,"Core exception while retrieving the content description",1522244662633
error,log,,,"Core exception while retrieving the content description",1522244662725
error,log,,,"Core exception while retrieving the content description",1522244662773
error,log,,,"Core exception while retrieving the content description",1522244662837
error,log,,,"Core exception while retrieving the content description",1522244662907
error,log,,,"Core exception while retrieving the content description",1522244662937
error,log,,,"Core exception while retrieving the content description",1522244662963
error,log,,,"Core exception while retrieving the content description",1522244662991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522244680601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522244688438
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522244690045
error,log,,,"Core exception while retrieving the content description",1522244690779
error,log,,,"Core exception while retrieving the content description",1522244690838
error,log,,,"Core exception while retrieving the content description",1522244690893
error,log,,,"Core exception while retrieving the content description",1522244690923
error,log,,,"Core exception while retrieving the content description",1522244690954
error,log,,,"Core exception while retrieving the content description",1522244691006
error,log,,,"Core exception while retrieving the content description",1522244691074
error,log,,,"Core exception while retrieving the content description",1522244691137
error,log,,,"Core exception while retrieving the content description",1522244691215
error,log,,,"Core exception while retrieving the content description",1522244691354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522244691426
error,log,,,"Core exception while retrieving the content description",1522244692472
error,log,,,"Core exception while retrieving the content description",1522244692506
error,log,,,"Core exception while retrieving the content description",1522244692539
error,log,,,"Core exception while retrieving the content description",1522244692571
error,log,,,"Core exception while retrieving the content description",1522244692638
error,log,,,"Core exception while retrieving the content description",1522244692739
error,log,,,"Core exception while retrieving the content description",1522244692780
error,log,,,"Core exception while retrieving the content description",1522244692837
error,log,,,"Core exception while retrieving the content description",1522244692905
error,log,,,"Core exception while retrieving the content description",1522244692962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1522245176943
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1522245178923
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1522245191233
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1522245244395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1522245264327
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1522245264856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1522245265283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522245276617
error,log,,,"Core exception while retrieving the content description",1522245277574
error,log,,,"Core exception while retrieving the content description",1522245277661
error,log,,,"Core exception while retrieving the content description",1522245277709
error,log,,,"Core exception while retrieving the content description",1522245277755
error,log,,,"Core exception while retrieving the content description",1522245277810
error,log,,,"Core exception while retrieving the content description",1522245277866
error,log,,,"Core exception while retrieving the content description",1522245277908
error,log,,,"Core exception while retrieving the content description",1522245278004
error,log,,,"Core exception while retrieving the content description",1522245278061
error,log,,,"Core exception while retrieving the content description",1522245278106
error,log,,,"Core exception while retrieving the content description",1522245278766
error,log,,,"Core exception while retrieving the content description",1522245278862
error,log,,,"Core exception while retrieving the content description",1522245278910
error,log,,,"Core exception while retrieving the content description",1522245278956
error,log,,,"Core exception while retrieving the content description",1522245279001
error,log,,,"Core exception while retrieving the content description",1522245279070
error,log,,,"Core exception while retrieving the content description",1522245279372
error,log,,,"Core exception while retrieving the content description",1522245279492
error,log,,,"Core exception while retrieving the content description",1522245279553
error,log,,,"Core exception while retrieving the content description",1522245279617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1522245287039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1522245288279
error,log,,,"Core exception while retrieving the content description",1522245288850
error,log,,,"Core exception while retrieving the content description",1522245288903
error,log,,,"Core exception while retrieving the content description",1522245288957
error,log,,,"Core exception while retrieving the content description",1522245289023
